round,grade,matchup,opposition,bowling_team,bowler_name,overs,maidens,runs,wickets,wides,no_balls
6,1st,KIN vs GEE,KIN,GEE,Joshua Larkin,3,,0,17,5.66,1
6,1st,KIN vs GEE,KIN,GEE,Zane Attard,5,,0,22,4.40,0
6,1st,KIN vs GEE,GEE,KIN,Luke Stow,4.5,,0,29,6.00,5
6,1st,KIN vs GEE,GEE,KIN,Cory Cater,6,,0,42,7.00,1
6,1st,KIN vs GEE,GEE,KIN,Saad Khattak,7,,0,22,3.14,0
6,1st,KIN vs GEE,GEE,KIN,Thaveesh Attanayake,2,,0,15,7.50,0
6,1st,KIN vs GEE,GEE,KIN,William Bowering,5,,0,29,5.80,0
6,1st,KIN vs GEE,GEE,KIN,Vimesh Wickramasinghe,3,,0,18,6.00,0
6,1st,KIN vs GEE,GEE,KIN,Nic Tindall,2,,0,20,10.00,0
6,1st,MEL vs RIC,MEL,RIC,Mitch Perry,7,,0,29,4.14,7
6,1st,MEL vs RIC,MEL,RIC,Austin Anlezark,6,,0,31,5.16,7
6,1st,MEL vs RIC,MEL,RIC,Brendan Rose,7,,0,26,3.71,1
6,1st,MEL vs RIC,MEL,RIC,Sam Mills,2.2,,0,16,6.85,5
6,1st,MEL vs RIC,MEL,RIC,Joshua Sawrey,3,,0,23,7.66,1
6,1st,MEL vs RIC,MEL,RIC,Dhruval Parikh,5,,0,33,6.60,4
6,1st,MEL vs RIC,RIC,MEL,Mark Stafford,7,,0,34,4.85,4
6,1st,MEL vs RIC,RIC,MEL,Tom Walker,5,,0,24,4.80,4
6,1st,MEL vs RIC,RIC,MEL,Peter Hatzoglou,7,,0,27,3.85,1
6,1st,MEL vs RIC,RIC,MEL,Jack Lyndon,5.2,,0,36,6.75,0
6,1st,MEL vs RIC,RIC,MEL,Janak Prakash,2,,0,15,7.50,2
6,1st,MEL vs RIC,RIC,MEL,Yuvraj Singh,5,,0,33,6.60,0
7,1st,CAS vs ESS,CAS,ESS,Noman Safdar,3,,0,17,5.66,0
7,1st,CAS vs ESS,CAS,ESS,Muhammad Abdulrafay,4,,0,23,5.75,2
7,1st,CAS vs ESS,CAS,ESS,Arshit Rajput,4,,0,24,6.00,1
7,1st,CAS vs ESS,CAS,ESS,Liam Molloy,4,,0,32,8.00,0
7,1st,CAS vs ESS,CAS,ESS,Nicholas McGuane,4,,0,27,6.75,0
7,1st,CAS vs ESS,CAS,ESS,Ikroop Dhanoa,1,,0,8,8.00,0
7,1st,CAS vs ESS,ESS,CAS,Akshay Ramkumar,4,,0,18,4.50,0
7,1st,CAS vs ESS,ESS,CAS,Harry Hoekstra,3,,0,25,8.33,2
7,1st,CAS vs ESS,ESS,CAS,Nathan Lambden,3,,0,26,8.66,0
7,1st,CAS vs ESS,ESS,CAS,Finlay Gordon,4,,1,25,6.25,0
7,1st,CAS vs ESS,ESS,CAS,Ruwantha Kellapotha,4,,0,23,5.75,0
7,1st,CAS vs ESS,ESS,CAS,Evan Allaway,1,,0,8,8.00,0
7,1st,FRA vs ST,FRA,ST,Joshua Bartlett,3,,0,10,3.33,0
7,1st,FRA vs ST,FRA,ST,Luke Destito,4,,0,11,2.75,2
7,1st,FRA vs ST,FRA,ST,James Seymour,2,,0,13,6.50,0
7,1st,FRA vs ST,FRA,ST,Matthew Hennig,4,,0,22,5.50,1
7,1st,FRA vs ST,FRA,ST,Will Lovell,3,,0,28,9.33,1
